No,Code,Company Name,Listing Date,Shares,Listing Board
97,FITT,Hotel Fitra International Tbk.,11 Jun 2019,"1,304,272,051",Development
98,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,"6,000,000,000",Main
99,POLU,Golden Flower Tbk.,26 Jun 2019,"750,000,000",Development
100,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,"42,197,950,841",Watchlist
101,EAST,Eastparc Hotel Tbk.,09 Jul 2019,"4,126,405,336",Development
102,KOTA,DMS Propertindo Tbk.,09 Jul 2019,"10,546,185,701",Main
103,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,"1,808,221,900",Development
104,SLIS,Gaya Abadi Sempurna Tbk.,07 Oct 2019,"2,463,340,689",Development
105,PMJS,Putra Mandiri Jembar Tbk.,18 Dec 2019,"13,755,600,000",Development
106,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,"4,752,982,378",Watchlist
107,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,"1,875,000,000",Watchlist
108,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,"816,061,500",Development
109,SOFA,Solusi Environment Asia Tbk.,07 Jul 2020,"1,653,574,499",Acceleration
110,TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,"1,435,000,712",Watchlist
111,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,"2,500,000,000",Development
112,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,"896,709,596",Acceleration
113,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,"450,000,000",Development
114,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,"1,307,734,937",Acceleration
115,LUCY,Lima Dua Lima Tiga Tbk.,05 May 2021,"1,514,773,893",Acceleration
116,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,"1,904,883,411",Acceleration
117,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,"1,062,437,500",Acceleration
118,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,"6,790,000,000",Development
119,DRMA,Dharma Polimetal Tbk.,20 Dec 2021,"4,705,882,300",Main
120,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,"12,746,354,780",Development
121,NETV,MDTV Media Technologies Tbk.,26 Jan 2022,"41,360,517,722",Development
