No,Code,Company Name,Listing Date,Shares,Listing Board
63,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Main
64,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Development
65,BCIP,Bumi Citra Permai Tbk.,11 Dec 2009,"1,429,915,525",Development
66,BDMN,Bank Danamon Indonesia Tbk.,06 Dec 1989,"9,675,817,341",Main
67,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"51,351,733,883",Watchlist
68,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,"9,647,311,150",Main
69,BFIN,BFI Finance  Indonesia Tbk.,16 May 1990,"15,039,383,620",Main
70,BGTG,Bank Ganesha Tbk.,12 May 2016,"23,731,287,132",Main
71,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,"86,068,156,705",Watchlist
72,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Watchlist
73,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,"608,175,716",Watchlist
74,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"6,073,369,498",Main
75,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,"63,710,196,917",Development
76,BIPP,Bhuwanatala Indah Permai Tbk.,23 Oct 1995,"5,028,669,376",Development
77,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Main
78,BISI,BISI International Tbk.,28 May 2007,"3,000,000,000",Main
79,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"10,416,229,249",Main
80,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Main
81,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,"7,513,992,252",Watchlist
82,BKSL,Sentul City Tbk.,28 Jul 1997,"167,708,902,705",Main
83,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"34,806,467,881",Development
84,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",Watchlist
85,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Watchlist
86,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"17,921,635,680",Development
87,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"92,399,999,996",Main
88,BMSR,Bintang Mitra Semestaraya Tbk,29 Dec 1999,"1,159,200,024",Development
89,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Main
90,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"3,354,120,000",Development
91,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,"173,416,832,509",Development
92,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,890,783,784",Main
93,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Main
94,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Main
95,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",Development
96,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Development
97,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"9,884,153,240",Development
98,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,056,980",Development
99,BRMS,Bumi Resources Minerals Tbk.,09 Dec 2010,"141,784,040,338",Main
100,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",Development
101,BRPT,Barito Pacific Tbk.,01 Oct 1993,"93,747,218,044",Main
102,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Main
103,BSIM,Bank Sinarmas Tbk.,13 Dec 2010,"19,517,921,842",Main
104,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Development
105,BSWD,Bank Of India Indonesia Tbk.,01 May 2002,"3,651,978,177",Watchlist
106,BTEK,Bumi Teknokultura Unggul Tbk,14 May 2004,"46,277,496,376",Watchlist
107,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",Watchlist
108,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",Development
109,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,"10,536,203,690",Main
110,BUDI,Budi Starch & Sweetener Tbk.,08 May 1995,"4,498,997,362",Main
111,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Main
112,BULL,Buana Lintas Lautan Tbk.,23 May 2011,"15,494,436,593",Development
113,BUMI,Bumi Resources Tbk.,30 Jul 1990,"371,335,392,068",Main
114,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"24,617,054,642",Development
115,BVIC,Bank Victoria International Tb,30 Jun 1999,"18,235,266,754",Main
116,BWPT,Eagle High Plantations Tbk.,27 Oct 2009,"31,525,291,000",Main
117,BYAN,Bayan Resources Tbk.,12 Agt 2008,"33,333,335,000",Main
118,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,"833,440,000",Watchlist
119,CASS,Cahaya Aero Services Tbk.,05 Dec 2011,"2,086,950,000",Main
120,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",Development
121,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,"31,183,464,900",Development
122,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,"3,984,520,457",Main
123,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",Development
124,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",Main
125,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",Development
126,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,"6,696,354,391",Main
127,CMPP,AirAsia Indonesia Tbk.,08 Dec 1994,"10,685,124,441",Watchlist
128,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,"8,956,361,206",Watchlist
129,CNTX,Century Textile Industry Tbk.,22 May 1979,"70,000,000",Watchlist
130,COWL,Cowell Development Tbk.,19 Dec 2007,"4,871,214,021",Watchlist
131,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,"16,398,000,000",Main
132,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",Development
133,CSAP,Catur Sentosa Adiprana Tbk.,12 Dec 2007,"5,683,175,151",Watchlist
134,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",Development
135,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,535,695,255",Main
136,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",Development
137,DART,Duta Anggada Realty Tbk.,08 May 1990,"3,141,390,962",Development
138,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Development
139,DEWA,Darma Henwa Tbk,26 Sep 2007,"40,687,434,244",Main
140,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Dec 2007,"5,541,165,000",Development
141,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",Main
142,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",Development
143,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",Main
144,DMAS,Puradelta Lestari Tbk.,29 May 2015,"48,198,111,100",Main
145,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"16,721,891,185",Development
146,DNET,Indoritel Makmur Internasional,11 Dec 2000,"14,184,000,000",Main
147,DOID,BUMA Internasional Grup Tbk.,15 Jun 2001,"7,651,007,132",Main
148,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,"331,129,952",Development
149,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,"1,857,135,500",Development
150,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Main
151,DSSA,Dian Swastatika Sentosa Tbk,10 Dec 2009,"192,638,080,000",Main
152,DUTI,Duta Pertiwi Tbk,02 Nov 1994,"1,850,000,000",Watchlist
153,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Development
154,DYAN,Dyandra Media International Tb,25 Mar 2013,"4,272,964,279",Development
155,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",Development
156,EKAD,Ekadharma International Tbk.,14 Agt 1990,"3,493,875,000",Development
157,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",Main
158,ELTY,Bakrieland Development Tbk.,30 Oct 1995,"43,521,913,019",Watchlist
159,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",Development
160,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,426,451,483",Main
161,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"26,346,230,250",Main
162,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,"2,708,640,000",Development
163,ERAA,Erajaya Swasembada Tbk.,14 Dec 2011,"15,950,000,000",Main
164,ERTX,Eratex Djaja Tbk.,21 Agt 1990,"1,286,539,792",Development
165,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,"17,226,975,700",Main
166,ESTI,Ever Shine Tex Tbk.,13 Oct 1992,"2,015,208,720",Development
167,ETWA,Eterindo Wahanatama Tbk,16 May 1997,"4,668,671,400",Watchlist
168,EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,"18,199,862,451",Main
169,FAST,Fast Food Indonesia Tbk.,11 May 1993,"4,523,610,492",Development
170,FASW,Fajar Surya Wisesa Tbk.,19 Dec 1994,"3,221,255,423",Watchlist
171,FISH,FKS Multi Agro Tbk.,18 Jan 2002,"4,800,000,000",Development
172,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,"6,400,000,000",Development
173,FORU,Fortune Indonesia Tbk,17 Jan 2002,"465,224,000",Development
174,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,"5,566,414,000",Development
175,GAMA,Aksara Global Development Tbk.,11 Jul 2012,"10,011,027,656",Watchlist
176,GDST,Gunawan Dianjaya Steel Tbk.,23 Dec 2009,"9,242,500,000",Development
